CITY,PRICE,STATE,COUNTY,ZIPCODE,BEDROOMS,LATITUDE,BATHROOMS,LONGITUDE,STATEFIPS,COUNTYFIPS,LISTEDDATE,CREATEDDATE,LISTINGTYPE,ADDRESSLINE1,DAYSONMARKET,LASTSEENDATE,PROPERTYTYPE,SQUAREFOOTAGE
Austin,1600,TX,Travis,78758,2,30.403931,2.0,-97.709124,48,453,2025-12-05,2025-12-06,Standard,2320 Gracy Farms Ln,44,2026-01-17,Condo,1091.0
Austin,3800,TX,Travis,78701,1,30.269536,1.5,-97.750525,48,453,2025-12-03,2020-04-11,Standard,501 West Ave,46,2026-01-17,Condo,846.0
Austin,2700,TX,Travis,78705,3,30.285475,2.0,-97.750252,48,453,2025-12-01,2025-12-02,Standard,1107 A W 22nd St W,48,2026-01-17,Multi-Family,2293.0
Austin,2800,TX,Travis,78734,4,30.35296,2.5,-97.959098,48,453,2025-11-23,2025-11-24,Standard,88 White Magnolia Cir,56,2026-01-17,Condo,2070.0
Austin,1295,TX,Travis,78702,1,30.275943,1.0,-97.702561,48,453,2025-12-02,2025-12-03,Standard,3019 E 12th St,47,2026-01-17,Single Family,480.0
Austin,1295,TX,Travis,78705,1,30.287098,1.0,-97.74907,48,453,2025-12-08,2024-12-04,Standard,1013 W 23rd St,41,2026-01-17,Apartment,480.0
Austin,1495,TX,Travis,78759,3,30.432089,1.5,-97.76944,48,453,2025-11-26,2025-11-27,Standard,12005 Charing Cross Rd,53,2026-01-17,Multi-Family,1944.0
Austin,1450,TX,Travis,78757,2,30.347742,1.0,-97.729961,48,453,2025-12-02,2022-05-02,Standard,1902 Pasadena Dr,47,2026-01-17,Single Family,720.0
Austin,1425,TX,Travis,78724,2,30.321621,2.0,-97.583611,48,453,2025-11-29,2025-11-30,Standard,10346 Blue Bluff Rd,50,2026-01-17,Condo,1130.0
Austin,4475,TX,Travis,78702,3,30.272106,2.5,-97.729031,48,453,2025-12-03,2020-05-25,Standard,1011 E 12th St,46,2026-01-17,Single Family,1994.0
Austin,3250,TX,Travis,78757,3,30.331916,2.0,-97.725557,48,453,2025-11-26,2025-11-27,Standard,1009 Alegria Rd,53,2026-01-17,Single Family,1323.0
Austin,2200,TX,Travis,78704,1,30.226292,1.0,-97.763807,48,453,2025-12-09,2025-12-10,Standard,211 Lessin Ln,40,2026-01-17,Single Family,727.0
Austin,1400,TX,Travis,78722,2,30.284379,1.0,-97.716636,48,453,2025-12-11,2023-05-02,Standard,2401 Manor Rd,38,2026-01-17,Condo,820.0
Austin,800,TX,Travis,78723,1,30.306246,1.0,-97.679115,48,453,2025-12-09,2025-10-17,Standard,2904 Sweeney Ln,40,2026-01-17,Multi-Family,1015.0
Austin,1695,TX,Travis,78705,1,30.295095,1.0,-97.735874,48,453,2025-12-09,2020-04-06,Standard,114 E 31st St,40,2026-01-17,Condo,600.0
Austin,3995,TX,Travis,78704,3,30.234906,2.0,-97.750239,48,453,2025-12-03,2025-12-04,Standard,2511 Friar Tuck Ln,46,2026-01-17,Single Family,1301.0
Austin,1400,TX,Travis,78705,1,30.289078,1.0,-97.749668,48,453,2025-12-01,2023-11-18,Standard,2408 Leon St,48,2026-01-17,Apartment,553.0
Austin,2800,TX,Travis,78704,2,30.239382,2.0,-97.788928,48,453,2025-12-05,2025-12-06,Standard,3600 S Lamar Blvd,44,2026-01-17,Condo,1236.0
